college_name,branch,rank
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",11351
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",11379
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (4 Years, Bachelor of Technology)",11388
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",11388
Indian Institute  of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",11408
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",11408
"National Institute of Technology, Tiruchirappalli","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",11410
Indian Institute  of Technology Gandhinagar,"Civil Engineering (4 Years, Bachelor of Technology)",11422
Indian Institute  of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",11426
Indian Institute  of Technology Patna,"Mechanical Engineering (4 Years, Bachelor of Technology)",11453
Indian Institute  of Technology Kharagpur,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11458
"Punjab Engineering College, Chandigarh","Computer Science and Engineering (4 Years, Bachelor of Technology)",11498
Indian Institute  of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11555
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",11577
Indian Institute  of Technology Palakkad,"Data Science and Engineering (4 Years, Bachelor of Technology)",11636
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, Bachelor of Technology)",11637
Indian Institute  of Technology Patna,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",11653
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",11662
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",11666
Indian Institute  of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",11677
Indian Institute  of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",11713
Indian Institute  of Technology Patna,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",11739
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",11754
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",11757
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",11765
Indian Institute  of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",11768
Indian Institute  of Technology (ISM) Dhanbad,"Engineering Physics (4 Years, Bachelor of Technology)",11797
Indian Institute  of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",11824
Indian Institute of Technology Bhilai,"Mechatronics Engineering (4 Years, Bachelor of Technology)",11894
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",11907
Indian Institute  of Technology Kharagpur,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",11920
Indian Institute of Technology Bhilai,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",11936
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology)",11946
Indian Institute of Information Technology Lucknow,"Information Technology (4 Years, Bachelor of Technology)",11947
"National Institute of Technology, Kurukshetra","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",11963
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",12085
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",12121
Indian Institute  of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",12150
Indian Institute  of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",12176
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",12184
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",12192
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, Bachelor of Technology)",12195
Indian Institute  of Technology (BHU) Varanasi,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",12213
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",12217
"Punjab Engineering College, Chandigarh","Computer Science Engineering (Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))",12224
Indian Institute  of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",12236
Indian Institute  of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",12260
Indian Institute  of Technology Gandhinagar,"Materials Engineering (4 Years, Bachelor of Technology)",12299
"National Institute of Technology, Kurukshetra","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",12337
Indian Institute  of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",12385
Motilal Nehru National Institute of Technology Allahabad,"Electrical Engineering (4 Years, Bachelor of Technology)",12422
National Institute of Technology Hamirpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12426
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",12435
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",12473
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12505
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12507
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",12579
Indian Institute  of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",12599
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12604
Indian Institute  of Technology (ISM) Dhanbad,"Electrical Engineering (4 Years, Bachelor of Technology)",12614
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",12641
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12698
National Institute of Technology Raipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12773
Indian Institute  of Technology Kharagpur,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",12780
"National Institute of Technology, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)",12818
Indian Institute  of Technology Jodhpur,"Chemical Engineering (4 Years, Bachelor of Technology)",12820
Indian Institute  of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",12832
Indian Institute  of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",12839
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",12850
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",12851
Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",12898
Indian Institute  of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",12903
Indian Institute  of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",12904
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",12910
Indian Institute  of Technology Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",12928
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",12938
Motilal Nehru National Institute of Technology Allahabad,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",12945
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",12955
Indian Institute  of Technology Patna,"Engineering Physics (4 Years, Bachelor of Technology)",12977
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",13027
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13067
Indian Institute  of Technology (BHU) Varanasi,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13072
Indian Institute  of Technology Ropar,"Civil Engineering (4 Years, Bachelor of Technology)",13078
Indian Institute  of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",13086
Indian Institute  of Technology (ISM) Dhanbad,"Petroleum Engineering (4 Years, Bachelor of Technology)",13101
Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",13116
"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13145
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",13180
National Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",13205
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",13254
Indian Institute  of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",13263
Indian Institute  of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",13272
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",13291
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",13339
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",13369
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)",13373
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",13375
Indian Institute of Technology Dharwad,"Engineering Physics (4 Years, Bachelor of Technology)",13387
Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",13483
Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",13511
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13518
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering  (4 Years, Bachelor of Technology)",13556
Indian Institute  of Technology (BHU) Varanasi,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",13565
Indian Institute  of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",13594
"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",13615
"Indian Institute of Engineering Science and Technology, Shibpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",13711
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",13732
National Institute of Technology Durgapur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",13772
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",13850
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",13855
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (4 Years, Bachelor of Technology)",13864
Indian Institute  of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",13898
Indian Institute  of Technology (BHU) Varanasi,"Chemical Engineering (4 Years, Bachelor of Technology)",13910
Indian Institute  of Technology Patna,"Chemical Engineering (4 Years, Bachelor of Technology)",13933
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",13942
National Institute of Technology Patna,"Computer Science and Engineering (4 Years, Bachelor of Technology)",13964
Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",14010
Indian Institute  of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",14020
Indian Institute  of Technology (ISM) Dhanbad,"Civil Engineering (4 Years, Bachelor of Technology)",14058
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology)",14069
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",14079
Indian Institute  of Technology Gandhinagar,"Mechanical Engineering (4 Years, Bachelor of Technology)",14110
Indian Institute  of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",14111
National Institute of Technology Hamirpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",14111
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",14115
Indian Institute  of Technology Patna,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",14128
Indian Institute  of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",14142
Indian Institute  of Technology Gandhinagar,"Chemical Engineering (4 Years, Bachelor of Technology)",14158
"National Institute of Technology, Jamshedpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",14181
National Institute of Technology Patna,"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",14191
Indian Institute  of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",14206
"National Institute of Technology, Tiruchirappalli","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",14240
Indian Institute  of Technology Patna,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",14268
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",14277
Indian Institute  of Technology Patna,"B. Tech. (EEE)-M. Tech. in (Power &. Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",14323
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",14379
Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",14404
"National Institute of Technology, Kurukshetra","Mathematics and Computing (4 Years, Bachelor of Technology)",14427
Indian Institute  of Technology (BHU) Varanasi,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",14443
Indian Institute  of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",14463
Indian Institute  of Technology Jodhpur,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",14476
Indian Institute  of Technology (BHU) Varanasi,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",14479
National Institute of Technology Delhi,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",14481
Indian Institute  of Technology Ropar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",14524
"National Institute of Technology, Kurukshetra","Computer Engineering (4 Years, Bachelor of Technology)",14551
Indian Institute of Technology Jammu,"Mathematics and Computing (4 Years, Bachelor of Technology)",14564
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",14584
Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",14589
Indian Institute  of Technology Tirupati,"Chemical Engineering (4 Years, Bachelor of Technology)",14593
National Institute of Technology Delhi,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",14598
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",14657
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",14668
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",14668
Indian Institute  of Technology Roorkee,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",14672
Indian Institute  of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",14677
"National Institute of Technology, Kurukshetra","Mathematics and Computing (4 Years, Bachelor of Technology)",14686
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",14740
National Institute of Technology Raipur,"Information Technology (4 Years, Bachelor of Technology)",14763
Indian Institute  of Technology (BHU) Varanasi,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",14830
Indian Institute  of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",14832
Indian Institute  of Technology (BHU) Varanasi,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",14852
"Punjab Engineering College, Chandigarh","Computer Science Engineering (Data Science) (4 Years, B. Tech / B. Tech (Hons.))",14874
National Institute of Technology Durgapur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",14893
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",14929
Indian Institute  of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",14997
Indian Institute  of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",15007
Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",15019
Indian Institute  of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",15025
Indian Institute  of Technology Patna,"Chemical Science and Technology (4 Years, Bachelor of Technology)",15032
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",15073
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15076
"Sardar Vallabhbhai National Institute of Technology, Surat","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15093
Indian Institute  of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",15098
Indian Institute  of Technology Patna,"B. Tech in CE. - M. Tech.  in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",15120
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",15164
Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",15197
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15198
"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",15241
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15255
Indian Institute  of Technology Patna,"Civil Engineering (4 Years, Bachelor of Technology)",15295
Indian Institute  of Technology (ISM) Dhanbad,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",15373
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15374
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15393
Indian Institute  of Technology (BHU) Varanasi,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15421
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",15422
Indian Institute  of Technology (ISM) Dhanbad,"Chemical Engineering (4 Years, Bachelor of Technology)",15442
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",15454
National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",15463
"National Institute of Technology, Tiruchirappalli","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",15486
Indian Institute  of Technology Patna,"B. Tech in CE. - M. Tech.  in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",15521
Indian Institute  of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",15528
Indian Institute  of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",15530
Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",15560
Indian Institute  of Technology (BHU) Varanasi,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",15572
Indian Institute  of Technology (BHU) Varanasi,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",15585
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",15598
"Indian Institute of Information Technology, Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15613
Maulana Azad National Institute of Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",15624
Indian Institute  of Technology Jodhpur,"Materials Engineering (4 Years, Bachelor of Technology)",15643
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",15660
"National Institute of Technology, Kurukshetra","Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",15687
Indian Institute  of Technology (ISM) Dhanbad,"Mining Engineering  (4 Years, Bachelor of Technology)",15689
"National Institute of Technology, Warangal","Mechanical Engineering (4 Years, Bachelor of Technology)",15749
Indian Institute  of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",15784
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",15792
Indian Institute  of Technology Jodhpur,"Physics with Specialization (4 Years, Bachelor of Science)",15801
"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",15816
Indian Institute  of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",15831
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",15856
Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",15872
Indian Institute  of Technology (ISM) Dhanbad,"Environmental Engineering (4 Years, Bachelor of Technology)",15903
Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",15977
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",16000
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",16038
Indian Institute  of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",16065
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",16066
Indian Institute  of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",16085
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",16085
Indian Institute of Technology Dharwad,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",16106
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16123
Indian Institute  of Technology (ISM) Dhanbad,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",16151
Indian Institute  of Technology Gandhinagar,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16196
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",16205
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology)",16206
Indian Institute  of Technology Ropar,"Engineering Physics (4 Years, Bachelor of Technology)",16223
"National Institute of Technology, Tiruchirappalli","Mechanical Engineering (4 Years, Bachelor of Technology)",16238
Indian Institute  of Technology Patna,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",16253
Indian Institute  of Technology Bhubaneswar,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16257
Indian Institute of Information Technology Lucknow,"Computer Science (4 Years, Bachelor of Technology)",16328
"National Institute of Technology, Jamshedpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",16339
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",16340
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology)",16357
National Institute of Technology Patna,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",16359
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",16368
Indian Institute  of Technology Ropar,"Chemical Engineering (4 Years, Bachelor of Technology)",16377
Indian Institute  of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",16386
"Birla Institute of Technology, Mesra,  Ranchi","Computer Science and Engineering (4 Years, Bachelor of Technology)",16401
Indian Institute of Technology Jammu,"Chemical Engineering (4 Years, Bachelor of Technology)",16433
Indian Institute  of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",16434
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",16450
Indian Institute  of Technology Jodhpur,"Bio Engineering (4 Years, Bachelor of Technology)",16453
Indian Institute of Information Technology Lucknow,"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",16486
Indian Institute  of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",16487
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",16523
"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",16530
Indian Institute  of Technology (BHU) Varanasi,"Civil Engineering (4 Years, Bachelor of Technology)",16550
Indian Institute  of Technology Ropar,"Mechanical Engineering (4 Years, Bachelor of Technology)",16633
Indian Institute  of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",16658
Indian Institute of Technology Bhilai,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",16674
Indian Institute of Technology Dharwad,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",16739
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geophysics (5 Years, Integrated Master of Technology)",16754
"National Institute of Technology, Tiruchirappalli","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",16754
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",16766
Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",16786
"Indian Institute of Engineering Science and Technology, Shibpur","Information Technology (4 Years, Bachelor of Technology)",16809
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology)",16814
Motilal Nehru National Institute of Technology Allahabad,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",16867
"Visvesvaraya National Institute of Technology, Nagpur","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",16931
Indian Institute of Information Technology (IIIT) Pune,"Computer Science and Engineering (4 Years, Bachelor of Technology)",16952
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Computer Science and Engineering (4 Years, Bachelor of Technology)",16986
"National Institute of Technology, Kurukshetra","Industrial Internet of Things (4 Years, Bachelor of Technology)",17041
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",17071
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",17138
National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",17146
Indian Institute  of Technology (ISM) Dhanbad,"Applied Geology (5 Years, Integrated Master of Technology)",17181
