college_name,branch,rank
Indian Institute  of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",1090
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",1098
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",1124
Indian Institute  of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1165
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",1198
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",1205
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Architecture  (5 Years, Bachelor of Architecture)",1245
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",1255
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",1286
"Mizoram University, Aizawl","Architecture  (5 Years, Bachelor of Architecture)",1299
Indian Institute  of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1300
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1346
Indian Institute  of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",1349
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",1366
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1385
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning)",1394
Indian Institute  of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",1416
Indian Institute  of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",1429
"National Institute of Technology, Rourkela","Architecture  (5 Years, Bachelor of Architecture)",1435
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",1459
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",1509
Indian Institute  of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",1523
Indian Institute  of Technology Gandhinagar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1555
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",1639
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",1693
Indian Institute  of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",1698
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",1704
Indian Institute  of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1718
National Institute of Technology Raipur,"Architecture  (5 Years, Bachelor of Architecture)",1726
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",1736
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",1749
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",1791
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",1833
Indian Institute  of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",1845
Indian Institute  of Technology Ropar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1859
Indian Institute  of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",1866
Indian Institute  of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",1877
Indian Institute  of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",1884
Indian Institute  of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",1914
Indian Institute  of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",1945
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology)",1984
Indian Institute  of Technology (BHU) Varanasi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",2034
Indian Institute  of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",2037
National Institute of Technology Patna,"Architecture  (5 Years, Bachelor of Architecture)",2078
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",2086
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",2102
Indian Institute  of Technology Gandhinagar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2110
Indian Institute  of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",2117
Maulana Azad National Institute of Technology Bhopal,"Architecture  (5 Years, Bachelor of Architecture)",2145
Indian Institute  of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",2158
Indian Institute  of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",2196
Malaviya National Institute of Technology Jaipur,"Architecture  (5 Years, Bachelor of Architecture)",2202
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",2209
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",2213
Indian Institute  of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",2240
Indian Institute  of Technology (BHU) Varanasi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2275
Indian Institute  of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",2310
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",2335
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",2365
Indian Institute  of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",2372
Indian Institute  of Technology Gandhinagar,"Artificial Intelligence (4 Years, Bachelor of Technology)",2373
